year,Base case cost,"Hughes (creek northwest) -- unnamed creek, northwest of hughes","Hughes -- unnamed creek, west of hughes"
2021,219288.826208,823962.540591,786242.721995
2022,223814.486786,815586.419457,778776.034238
2023,227105.876298,806431.56768,770486.327804
2024,229574.418431,796846.806869,761731.251004
2025,233431.016214,788813.044687,754525.660564
2026,237717.012508,781421.038526,747952.364328
2027,241192.144638,773591.792451,740907.651493
2028,244681.257185,766032.309495,734115.68878
2029,248600.766843,759097.161631,727939.824488
2030,251284.008231,751337.232331,720897.820883
2031,256069.305118,745638.32,715942.877955
2032,260455.161531,739828.451821,710853.128246
2033,265488.111512,734892.858083,706622.542386
2034,270341.313279,729943.521991,702371.835366
2035,273520.859458,723760.591384,696839.612563
2036,277331.521587,718252.802481,691993.591613
2037,280532.03839,712509.04154,686872.722604
2038,285446.15483,708457.25333,683463.916079
2039,289101.035174,703510.830489,679122.235558
2040,294052.099858,699885.469262,676113.950432
2041,294052.099858,692055.474119,668804.755498
2042,294739.137474,685096.03192,662353.907264
2043,294739.137474,677628.76688,655383.315993
2044,294739.137474,670336.515799,648576.097893
2045,294739.137474,663215.176985,641928.424091
2046,294739.137474,656260.744247,635436.554861
2047,294739.137474,649469.306291,629096.839064
2048,294052.099858,642150.004871,622218.672575
2049,293365.062241,634986.147034,615485.610577
2050,292678.024625,627974.089856,608894.252448
