year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,32656.42,445874.02,203371.93,3250.45,17226.5,3940.99
2018,36434.03,497321.02,230929.47,15224.16,80671.84,18698.54
2019,41846.99,571061.73,269868.97,32390.49,171610.17,40293.28
2020,44245.75,603644.83,285266.89,39980.33,211792.22,49727.84
2021,46017.32,627653.43,301776.56,45576.08,241400.04,57406.28
2022,47285.57,644802.43,315326.73,49575.41,262548.49,63225.83
2023,48176.77,656806.73,321197.17,52377.47,277352.4,66790.84
2024,48941.73,667096.13,331717.3,54780.29,290041.47,70719.65
2025,49832.72,679100.43,343273.6,57583.08,304845.39,75246.88
2026,50975.89,694534.53,351075.27,61185.63,323878.99,79945.06
2027,51867.7,706538.83,362956.06,63989.86,338682.9,84618.7
2028,52633.96,716828.23,368241.83,66395.12,351371.97,87789.02
2029,53649.75,730547.44,381299.87,69598.31,368290.73,93124.74
2030,54288.41,739121.94,385775.22,71603.32,378864.95,95798.5
2031,55431.85,754556.04,400038.72,75208.14,397898.56,101809.03
2032,,,407312.15,,,106137.98
2033,,,421942.49,,,112314.02
2034,,,436826.78,,,118604.65
2035,,,442451.16,,,121927.76
2036,,,458625.56,,,128931.39
