year,Base case cost,Modeled diesel efficiency
2019,1383218.22901,1667544.17799
2020,1457656.30573,1725604.06947
2021,1510694.36275,1764434.65745
2022,1547461.90019,1788693.84431
2023,1571965.84824,1802019.1381
2024,1592510.82635,1811955.1579
2025,1617013.27564,1825693.75141
2026,1649514.59771,1846904.11842
2027,1673393.56356,1860471.36154
2028,1693378.0061,1870688.9314
2029,1722594.79946,1889485.87811
2030,1738937.25944,1896760.84886
2031,1771292.45259,1918770.54841
2032,1798797.66403,1936544.70761
2033,1830139.69659,1957976.35265
2034,1860943.67495,1979084.35236
2035,1879952.42586,1989631.03402
2036,1914725.11606,2014666.39772
2037,1929478.14292,2021656.19655
2038,1964256.07878,2047000.97476
