year,Base case cost,Modeled water and wastewater efficiency
2017,35906.8706923,39548.6567356
2018,51658.1980319,50612.1061817
2019,74237.4756262,66641.7094814
2020,84226.0820646,73538.2497048
2021,91593.4067388,78539.869126
2022,96860.9867883,82025.1382767
2023,100554.246471,84375.3078671
2024,103722.016878,86351.7347762
2025,107415.796029,88717.6325793
2026,112161.526274,91854.6660954
2027,115857.558891,94236.780466
2028,119029.087484,96245.1198909
2029,123248.06705,99020.9780781
2030,125891.726699,100659.781581
2031,130639.988935,103833.122228
