year,Base case diesel consumed,Modeled wind power,Kaktovik wind diesel design
2019,415380.849552,281798.594834,318841.334263
2020,414106.905037,280524.65032,317567.389749
2021,412758.022611,279175.767893,316218.507322
2022,411559.016009,277976.761291,315019.500721
2023,410434.94732,276852.692602,313895.432032
2024,409385.816543,275803.561826,312846.301255
2025,408336.685767,274754.43105,311797.170479
2026,407287.554991,273705.300273,310748.039702
2027,406163.486302,272581.231584,309623.971013
2028,405114.355525,271532.100808,308574.840237
2029,404364.976399,270782.721682,307825.461111
2030,403465.721448,269883.46673,306926.20616
2031,402566.466497,268984.211779,306026.951208
2032,401517.33572,267935.081003,304977.820432
2033,400468.204944,266885.950226,303928.689655
2034,399344.136255,265761.881537,302804.620966
2035,398295.005478,264712.750761,301755.49019
2036,397245.874702,263663.619984,300706.359414
2037,396196.743926,262614.489208,299657.228637
2038,395222.551062,261640.296344,298683.035773
