year,Base case cost,Modeled wind power,Kaktovik wind diesel design
2019,1383218.22901,1695544.20009,1712443.57245
2020,1457656.30573,1734004.32216,1758681.65653
2021,1510694.36275,1757082.01618,1787920.15229
2022,1547461.90019,1768762.82476,1804460.61714
2023,1571965.84824,1771909.90587,1811482.20082
2024,1592510.82635,1772548.23641,1815640.8797
2025,1617013.27564,1776314.79175,1823204.60657
2026,1649514.59771,1786107.73154,1837387.46681
2027,1673393.56356,1789843.00946,1844846.16764
2028,1693378.0061,1791105.54951,1849481.51729
2029,1722594.79946,1799607.37539,1861951.46413
2030,1738937.25944,1798915.51905,1864248.70337
2031,1771292.45259,1809958.30164,1879507.5632
2032,1798797.66403,1817547.02766,1890964.97358
2033,1830139.69659,1828090.30651,1905660.36292
2034,1860943.67495,1838343.36622,1920034.66972
2035,1879952.42586,1840451.37848,1925288.69831
2036,1914725.11606,1854015.47894,1943229.50244
2037,1929478.14292,1853470.98657,1945457.81875
2038,1964256.07878,1867496.55166,1963803.27362
