year,annotation,Average Load
2003,,375.0
2004,,402.0
2005,,431.0
2006,,447.0
2007,,574.0
2008,,585.0
2009,,642.0
2010,,531.0
2011,,555.0
2012,,654.0
2013,,595.0
2014,,617.0
2015,,550.0
2016,start of forecast,575.0
2017,,573.0
2018,,571.0
2019,,569.0
2020,,568.0
2021,,566.0
2022,,564.0
2023,,563.0
2024,,561.0
2025,,560.0
2026,,558.0
2027,,557.0
2028,,555.0
2029,,554.0
2030,,553.0
2031,,552.0
2032,,551.0
2033,,549.0
2034,,547.0
2035,,546.0
2036,,545.0
2037,,543.0
2038,,542.0
2039,,540.0
2040,,539.0
