year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.4
2001,,,1.5
2004,,1.47,1.5
2005,,1.81,1.6
2006,,1.93,1.5
2008,,,1.68
2009,,2.92,2.0
2010,,3.83,2.41
2011,,4.43,2.6
2012,,3.96,3.1
2013,,4.44,5.5
2014,,4.47,5.25
2016,start of forecast,2.18,2.18
2017,,2.6,2.6
2018,,2.9,2.9
2019,,3.33,3.33
2020,,3.52,3.52
2021,,3.66,3.66
2022,,3.76,3.76
2023,,3.83,3.83
2024,,3.89,3.89
2025,,3.96,3.96
2026,,4.05,4.05
2027,,4.12,4.12
2028,,4.18,4.18
2029,,4.26,4.26
2030,,4.31,4.31
2031,,4.4,4.4
2032,,4.48,4.48
2033,,4.57,4.57
2034,,4.66,4.66
2035,,4.72,4.72
2036,,4.82,4.82
2037,,4.87,4.87
2038,,4.97,4.97
2039,,5.04,5.04
2040,,5.14,5.14
