year,annotation,diesel generation efficiency
2002,,13.18
2003,,13.34
2004,,13.84
2005,,12.96
2006,,11.55
2009,,15.78
2010,,14.66
2011,,13.69
2012,,16.41
2013,,13.74
2014,,13.41
2015,,12.88
2016,start of forecast,13.34
2017,,13.34
2018,,13.34
2019,,13.34
2020,,13.34
2021,,13.34
2022,,13.34
2023,,13.34
2024,,13.34
2025,,13.34
2026,,13.34
2027,,13.34
2028,,13.34
2029,,13.34
2030,,13.34
2031,,13.34
2032,,13.34
2033,,13.34
2034,,13.34
2035,,13.34
2036,,13.34
2037,,13.34
2038,,13.34
2039,,13.34
2040,,13.34
