year,Base case cost,Modeled solar power (pv)
2016,914188.578444,969346.362156
2017,1086809.55888,1137958.33085
2018,1208298.90279,1256273.8694
2019,1383218.22901,1427265.55657
2020,1457656.30573,1499344.9167
2021,1510694.36275,1550382.2212
2022,1547461.90019,1585437.3167
2023,1571965.84824,1608449.57927
2024,1592510.82635,1627597.82319
2025,1617013.27564,1650676.63186
2026,1649514.59771,1681668.76628
2027,1673393.56356,1704190.616
2028,1693378.0061,1722908.05551
2029,1722594.79946,1750772.06037
2030,1738937.25944,1765965.42053
2031,1771292.45259,1796971.30919
2032,1798797.66403,1823214.63914
2033,1830139.69659,1853267.99518
2034,1860943.67495,1882812.87408
2035,1879952.42586,1900757.10455
