year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,7000.0,6409.38402395
2018,7000.0,6409.38402395
2019,7000.0,6409.38402395
2020,7000.0,6409.38402395
2021,7000.0,6409.38402395
2022,7000.0,6409.38402395
2023,8023.0,7432.38402395
2024,8023.0,7432.38402395
2025,8023.0,7432.38402395
2026,8023.0,7432.38402395
2027,8023.0,7432.38402395
2028,8023.0,7432.38402395
2029,8023.0,7432.38402395
2030,8023.0,7432.38402395
2031,8023.0,7432.38402395
2032,8023.0,7432.38402395
2033,8023.0,7432.38402395
2034,8023.0,7432.38402395
2035,8023.0,7432.38402395
2036,8023.0,7432.38402395
