year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,,0.0,2266.5,4734.28
2018,,0.0,2266.5,4734.28
2019,,0.0,2266.5,4734.28
2020,,0.0,2266.5,4734.28
2021,,0.0,2266.5,4734.28
2022,,0.0,2266.5,4734.28
2023,,0.0,2266.5,5756.82
2024,,0.0,2266.5,5756.82
2025,,0.0,2266.5,5756.82
2026,,0.0,2266.5,5756.82
2027,,0.0,2266.5,5756.82
2028,,0.0,2266.5,5756.82
2029,,0.0,2266.5,5756.82
2030,,0.0,2266.5,5756.82
2031,,0.0,2266.5,5756.82
2032,,0.0,2266.5,5756.82
2033,,0.0,2266.5,5756.82
2034,,0.0,2266.5,5756.82
2035,,0.0,2266.5,5756.82
2036,,0.0,2266.5,5756.82
2037,,0.0,2266.5,5756.82
2038,,0.0,2266.5,5756.82
2039,,0.0,2266.5,5756.82
2040,,0.0,2266.5,5756.82
