year,Base case cost,Modeled biomass for heat (cordwood)
2017,26115.5453601,
2018,28215.5453601,
2019,31225.5453601,
2020,32625.5453601,
2021,33675.5453601,
2022,34375.5453601,
2023,40041.1257749,
2024,40522.5057749,
2025,41164.3457749,
2026,41886.4157749,
2027,42448.0257749,
2028,43009.6357749,
2029,43651.4757749,
2030,44052.6257749,
2031,44854.9257749,
2032,45576.9957749,
2033,46379.2957749,
2034,47181.5957749,
2035,47662.9757749,
2036,48465.2757749,
