year,Base case diesel consumed,Cold bay wind energy project,Modeled wind power
2019,211576.797513,188737.472474,137942.37118
2020,211576.797513,188737.472474,137942.37118
2021,211651.191605,188811.866566,138016.765271
2022,211725.585697,188886.260658,138091.159363
2023,211799.979789,188960.65475,138165.553455
2024,211874.373881,189035.048842,138239.947547
2025,211948.767973,189109.442934,138314.341639
2026,212023.162065,189183.837026,138388.735731
2027,212097.556157,189258.231118,138463.129823
2028,212246.344341,189407.019302,138611.918007
2029,212320.738433,189481.413394,138686.312099
2030,212395.132525,189555.807486,138760.706191
2031,212543.920709,189704.59567,138909.494375
2032,212618.314801,189778.989762,138983.888467
2033,212767.102984,189927.777946,139132.676651
2034,212915.891168,190076.566129,139281.464835
2035,213064.679352,190225.354313,139430.253019
2036,213213.467536,190374.142497,139579.041202
2037,213362.25572,190522.930681,139727.829386
2038,213511.043904,190671.718865,139876.61757
