year,Base case diesel consumed,Cold bay waste heat recovery project
2018,148366.0,122424.0
2019,148365.0,122423.0
2020,148364.0,122422.0
2021,148362.0,122420.0
2022,147332.0,121390.0
2023,147330.0,121388.0
2024,147329.0,121387.0
2025,147327.0,121385.0
2026,146296.0,120354.0
2027,146293.0,120351.0
2028,146291.0,120349.0
2029,145260.0,119318.0
2030,145257.0,119315.0
2031,144225.0,118283.0
2032,144222.0,118280.0
2033,143190.0,117248.0
2034,143186.0,117244.0
2035,142154.0,116212.0
2036,142150.0,116208.0
2037,141118.0,115176.0
