year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5968.91333071,3879.79366496
2018,5968.04392148,3879.22854896
2019,5967.1240374,3878.63062431
2020,5965.91884889,3877.84725178
2021,5964.43267466,3876.88123853
2022,5962.91384022,3875.89399614
2023,5961.24816983,3874.81131039
2024,5959.56279535,3873.71581698
2025,5957.75271828,3872.53926688
2026,5955.72373686,3871.22042896
2027,5953.42861527,3869.72859992
2028,5950.87221205,3868.06693783
2029,5948.68235888,3866.64353327
2030,5946.2001834,3865.03011921
2031,5943.39059612,3863.20388748
