year,Base case cost,Modeled solar power
2020,935169.445008,952979.234248
2021,977828.505216,994519.480023
2022,1012048.29963,1027758.93484
2023,1033583.90137,1048506.41818
2024,1053015.63819,1067196.45513
2025,1076699.7413,1090100.12606
2026,1104640.67436,1117222.86582
2027,1126238.02319,1138103.12598
2028,1146130.25944,1157322.29137
2029,1172010.47615,1182463.87512
2030,1189412.74214,1199252.03239
2031,1217876.66566,1226983.05104
2032,1248069.50788,1256433.05862
2033,1276602.61791,1284266.26735
2034,1309432.73069,1316360.2223
2035,1329523.59916,1335886.5217
2036,1360301.92288,1365985.57263
2037,1380453.79451,1385600.78218
2038,1413443.11064,1417914.94093
2039,1437930.66995,1441842.67551
