year,Base case cost,"Cold bay (unnamed stream, #4) -- unnamed creek, 3","Cold bay (unnamed stream, #2) -- unnamed creek, 2","Cold bay (russell creek, east branch downstream)"
2021,977828.505216,1183117.23888,882666.499006,1232585.50736
2022,1012048.29963,1161702.27964,870334.484928,1209314.70553
2023,1033583.90137,1140334.29009,857139.14555,1186326.15841
2024,1053015.63819,1119423.36044,844114.393888,1163858.75757
2025,1076699.7413,1099218.79503,831885.296372,1142058.81716
2026,1104640.67436,1079712.93998,820447.918199,1120917.99686
2027,1126238.02319,1060451.07895,808731.251868,1100151.38882
2028,1146130.25944,1041997.11521,797550.716563,1080254.05016
2029,1172010.47615,1023906.83112,786961.496837,1060644.74086
2030,1189412.74214,1005923.8191,775842.675129,1041305.09943
2031,1217876.66566,989293.368088,766558.705213,1023172.94321
2032,1248069.50788,972798.254296,757399.650553,1005166.83609
2033,1276602.61791,957102.575639,748784.789955,988018.486111
2034,1309432.73069,942058.524848,740941.346341,971477.230889
2035,1329523.59916,926872.116667,732086.461768,955021.296828
2036,1360301.92288,912613.9226,724657.472323,939345.660465
2037,1380453.79451,898275.76333,716409.217534,923782.571384
2038,1413443.11064,884965.850023,709816.537303,909064.670857
2039,1437930.66995,871651.141858,702609.276917,894499.371462
2040,1472628.81838,858751.734284,696326.061695,880199.414224
2041,1473653.96897,845037.182373,687135.375457,865649.884439
2042,1474679.11955,831668.092239,678184.122894,851465.386225
2043,1475704.27014,818636.366989,669466.692188,837637.364016
2044,1476729.42073,805934.099862,660977.603297,824157.463144
2045,1477754.57131,793553.569107,652711.504406,811017.524435
2046,1478779.7219,781487.233999,644663.16917,798209.579999
2047,1479292.2972,769215.155342,636314.918498,785213.273484
2048,1480317.44778,757755.2922,628686.918654,773046.156568
2049,1481342.59837,746588.046607,621261.727051,761188.233464
2050,1481855.17366,735193.985017,613522.015057,749119.682117
2051,1481855.17366,723566.40995,605463.140763,736833.425649
2052,1481855.17366,712211.356128,597593.146304,724835.128268
2053,1481855.17366,701122.43647,589907.604903,713118.041077
2054,1481855.17366,690293.413294,582402.193327,701675.573041
2055,1481855.17366,679718.195355,575072.68984,690501.287855
2056,1481855.17366,669390.834091,567914.971595,679588.899985
2057,1481855.17366,659305.520326,560925.012349,668932.271172
2058,1481855.17366,649456.581194,554098.880336,658525.407193
2059,1481855.17366,639838.4765,547432.735743,648362.454013
2060,1481855.17366,630445.796103,540922.82889,638437.695013
2061,1481855.17366,621273.256729,534565.498033,628745.547633
2062,1481855.17366,612315.698673,528357.167067,619280.55988
2063,1481855.17366,603568.083408,522294.343874,610037.407803
2064,1481855.17366,595025.4904,516373.618116,601010.892127
2065,1481855.17366,586683.11449,510591.65942,592195.935492
2066,1481855.17366,578536.262823,504945.215248,583587.5792
2067,1481855.17366,570580.353141,499431.109715,575180.981416
2068,1481855.17366,562810.910029,494046.240986,566971.4132
2069,1481855.17366,555223.563319,488787.580172,558954.256823
2070,1481855.17366,547814.045021,483652.169203,551125.00252
