year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,22738.37,382687.96,160746.33,31941.72,1031606.25,141795.64
2018,25301.32,425884.52,178781.16,33968.7,1097236.96,150816.66
2019,28937.37,487163.35,204365.47,36845.14,1190341.0,163613.94
2020,30661.64,516295.91,216528.5,38207.18,1234603.57,169697.88
2021,31846.89,536387.33,224916.79,39141.71,1265129.48,173893.71
2022,32792.84,552460.47,225943.95,39886.68,1289550.21,173479.09
2023,33379.81,562506.18,230035.19,40347.04,1304813.17,175532.36
2024,33906.73,571547.32,233717.3,40759.8,1318549.83,177380.31
2025,34551.79,582597.6,238217.66,41265.75,1335339.08,179638.92
2026,35314.26,595657.02,237410.26,41864.07,1355180.92,178344.96
2027,35896.0,605702.73,241398.58,42318.58,1370443.88,180353.6
2028,36416.16,614743.87,244988.08,42723.65,1384180.54,182161.37
2029,37116.6,626798.72,243329.03,43272.39,1402496.09,180470.15
2030,37576.81,634835.29,246437.36,43630.16,1414706.45,182041.35
2031,38331.7,647894.72,244827.25,44220.33,1434548.3,180399.23
2032,39142.15,661958.71,250122.74,44853.21,1455916.43,183086.34
2033,39890.99,675018.13,248100.98,45436.77,1475758.28,181265.67
2034,40756.92,690086.7,253620.36,46112.72,1498652.71,184077.77
2035,41266.53,699127.84,249745.99,46506.79,1512389.37,181342.05
2036,42072.26,713191.83,254753.33,47135.4,1533757.51,183904.18
2037,42581.51,722232.97,250549.63,47529.54,1547494.17,181025.62
2038,43444.57,737301.54,255760.28,48203.42,1570388.61,183703.81
2039,44068.89,748351.82,251891.14,48687.93,1587177.86,181026.12
2040,44988.37,764424.96,249429.57,49406.14,1611598.59,179098.32
