year,Base case diesel consumed,"Cold bay (unnamed stream, #4) -- unnamed creek, 3","Cold bay (unnamed stream, #2) -- unnamed creek, 2","Cold bay (russell creek, east branch downstream)"
2021,211651.191605,0.0,0.0,0.0
2022,211725.585697,74.3940919526,74.3940919526,74.3940919526
2023,211799.979789,148.788183905,148.788183905,148.788183905
2024,211874.373881,223.182275858,223.182275858,223.182275858
2025,211948.767973,297.57636781,297.57636781,297.57636781
2026,212023.162065,371.970459763,371.970459763,371.970459763
2027,212097.556157,446.364551716,446.364551716,446.364551716
2028,212246.344341,595.152735621,595.152735621,595.152735621
2029,212320.738433,669.546827573,669.546827573,669.546827573
2030,212395.132525,743.940919526,743.940919526,743.940919526
2031,212543.920709,892.729103431,892.729103431,892.729103431
2032,212618.314801,967.123195384,967.123195384,967.123195384
2033,212767.102984,1115.91137929,1115.91137929,1115.91137929
2034,212915.891168,1264.69956319,1264.69956319,1264.69956319
2035,213064.679352,1413.4877471,1413.4877471,1413.4877471
2036,213213.467536,1562.275931,1562.275931,1562.275931
2037,213362.25572,1711.06411491,1711.06411491,1711.06411491
2038,213511.043904,1859.85229882,1859.85229882,1859.85229882
2039,213659.832088,2008.64048272,2008.64048272,2008.64048272
2040,213734.22618,2083.03457467,2083.03457467,2083.03457467
2041,213883.014364,2231.82275858,2231.82275858,2231.82275858
2042,214031.802548,2380.61094248,2380.61094248,2380.61094248
2043,214180.590732,2529.39912639,2529.39912639,2529.39912639
2044,214329.378915,2678.18731029,2678.18731029,2678.18731029
2045,214478.167099,2826.9754942,2826.9754942,2826.9754942
2046,214626.955283,2975.7636781,2975.7636781,2975.7636781
2047,214701.349375,3050.15777006,3050.15777006,3050.15777006
2048,214850.137559,3198.94595396,3198.94595396,3198.94595396
2049,214998.925743,3347.73413787,3347.73413787,3347.73413787
2050,215073.319835,3422.12822982,3422.12822982,3422.12822982
2051,215073.319835,3422.12822982,3422.12822982,3422.12822982
2052,215073.319835,3422.12822982,3422.12822982,3422.12822982
2053,215073.319835,3422.12822982,3422.12822982,3422.12822982
2054,215073.319835,3422.12822982,3422.12822982,3422.12822982
2055,215073.319835,3422.12822982,3422.12822982,3422.12822982
2056,215073.319835,3422.12822982,3422.12822982,3422.12822982
2057,215073.319835,3422.12822982,3422.12822982,3422.12822982
2058,215073.319835,3422.12822982,3422.12822982,3422.12822982
2059,215073.319835,3422.12822982,3422.12822982,3422.12822982
2060,215073.319835,3422.12822982,3422.12822982,3422.12822982
2061,215073.319835,3422.12822982,3422.12822982,3422.12822982
2062,215073.319835,3422.12822982,3422.12822982,3422.12822982
2063,215073.319835,3422.12822982,3422.12822982,3422.12822982
2064,215073.319835,3422.12822982,3422.12822982,3422.12822982
2065,215073.319835,3422.12822982,3422.12822982,3422.12822982
2066,215073.319835,3422.12822982,3422.12822982,3422.12822982
2067,215073.319835,3422.12822982,3422.12822982,3422.12822982
2068,215073.319835,3422.12822982,3422.12822982,3422.12822982
2069,215073.319835,3422.12822982,3422.12822982,3422.12822982
2070,215073.319835,3422.12822982,3422.12822982,3422.12822982
