year,Base case cost,Cold bay wind energy project,Modeled wind power
2019,873812.17373,1036450.23407,1063587.04112
2020,935169.445008,1087215.95649,1097693.52548
2021,977828.505216,1121148.52232,1118953.13212
2022,1012048.29963,1147532.54713,1134487.33688
2023,1033583.90137,1162509.08816,1141299.3328
2024,1053015.63819,1175684.26958,1146832.20933
2025,1076699.7413,1192828.8228,1155558.0631
2026,1104640.67436,1213944.73531,1167476.82015
2027,1126238.02319,1229400.78198,1175116.11535
2028,1146130.25944,1243444.4302,1181857.10094
2029,1172010.47615,1262989.18116,1192882.65968
2030,1189412.74214,1274927.10174,1198108.20604
2031,1217876.66566,1297046.708,1211430.85343
2032,1248069.50788,1320790.39915,1226019.9116
2033,1276602.61791,1343156.0698,1239735.87832
2034,1309432.73069,1369515.4424,1256652.24697
2035,1329523.59916,1384384.84111,1264741.0735
2036,1360301.92288,1409051.47643,1280534.02131
2037,1380453.79451,1424142.7478,1288978.64809
2038,1413443.11064,1450983.15322,1306643.98003
