year,Base case cost,Cold bay waste heat recovery project
2018,628992.674796,533453.253372
2019,719491.085329,607776.868521
2020,762511.795863,642932.430904
2021,792173.91693,667072.198701
2022,810247.386518,680668.822048
2023,824969.387585,692478.140458
2024,838223.398119,703086.35277
2025,854417.989186,716123.595107
2026,867457.219307,725493.755141
2027,882068.730908,737221.408451
2028,895222.861975,747757.890095
2029,906344.892097,755490.640545
2030,917946.733697,764747.356842
2031,930174.294352,773339.014818
2032,950346.025953,789621.598176
2033,962160.396608,797812.270314
2034,983611.418743,815126.642334
2035,989315.989398,818256.833267
2036,1009189.15153,834264.131298
2037,1014563.12219,837074.821853
