year,Base case diesel consumed,Modeled solar power
2020,211576.797513,208659.120869
2021,211651.191605,208756.856375
2022,211725.585697,208854.405148
2023,211799.979789,208951.768685
2024,211874.373881,209048.948466
2025,211948.767973,209145.945961
2026,212023.162065,209242.762629
2027,212097.556157,209339.399916
2028,212246.344341,209510.25335
2029,212320.738433,209606.53617
2030,212395.132525,209702.64388
2031,212543.920709,209872.971973
2032,212618.314801,209968.733655
2033,212767.102984,210138.718488
2034,212915.891168,210308.533748
2035,213064.679352,210478.180791
2036,213213.467536,210647.660964
2037,213362.25572,210816.9756
2038,213511.043904,210986.126025
2039,213659.832088,211155.113552
