year,Base case cost,Modeled water and wastewater efficiency
2017,153931.760639,124597.902656
2018,165322.93941,130271.281761
2019,179446.84933,137376.357831
2020,188640.875208,141934.570636
2021,196425.708443,145759.718798
2022,203068.243087,148996.402322
2023,209376.284148,152062.705347
2024,215142.085881,154861.048218
2025,221212.529193,157827.508074
2026,227639.540828,160992.490012
2027,233719.042804,163981.183418
2028,239486.57055,166816.624447
2029,246571.856929,170409.33326
2030,252599.560336,173451.747056
2031,259504.831314,176947.629462
