year,Base case diesel consumed,Modeled residential ashp
2017,31039.5885893,-177411.159044
2018,31594.6610213,-176856.086612
2019,32334.7575973,-176115.990036
2020,32889.8300293,-175560.917604
2021,33444.9024613,-175005.845172
2022,34184.9990373,-174265.748596
2023,34740.0714693,-173710.676164
2024,35295.1439013,-173155.603732
2025,35850.2163333,-172600.5313
2026,36405.2887653,-172045.458868
2027,36960.3611973,-171490.386436
2028,37515.4336293,-170935.314004
2029,38070.5060613,-170380.241572
2030,38625.5784933,-169825.16914
2031,39180.6509253,-169270.096708
