year,Base case cost,Modeled wind power
2019,424427.471254,550059.46009
2020,454759.333683,572958.991869
2021,477248.762493,589203.976182
2022,493861.404237,600537.741351
2023,509396.742331,611096.914586
2024,521618.700644,618863.780479
2025,535560.074139,628208.36947
2026,551033.196138,638941.172784
2027,565317.65034,648780.560471
2028,577887.553081,657198.89188
2029,594392.448856,669183.117885
2030,606438.931907,677439.620738
2031,623019.136507,689637.142171
2032,640883.491558,702965.098616
2033,658644.594476,716254.819783
2034,676886.304961,730088.641739
2035,690207.377755,739724.7092
2036,709106.612545,754338.612157
2037,721603.871635,763490.843
2038,742609.436291,780107.662272
