year,Base case cost,Modeled diesel efficiency
2019,424427.471254,632221.357721
2020,454759.333683,654021.289022
2021,477248.762493,668827.074705
2022,493861.404237,678422.494265
2023,509396.742331,687167.617023
2024,521618.700644,693026.620859
2025,535560.074139,700571.820079
2026,551033.196138,709629.72384
2027,565317.65034,717724.40883
2028,577887.553081,724375.047502
2029,594392.448856,734714.903196
2030,606438.931907,741110.982602
2031,623019.136507,751735.391382
2032,640883.491558,763631.471457
2033,658644.594476,775535.504001
2034,676886.304961,787975.884511
2035,690207.377755,796040.059237
2036,709106.612545,809270.116008
2037,721603.871635,816772.797854
2038,742609.436291,832100.735783
