year,Base case cost,Modeled transmission and interties
2021,1103996.91556,
2022,1141301.00038,
2023,1175488.16166,
2024,1202370.50215,
2025,1233149.74704,
2026,1267386.40711,
2027,1298831.63567,
2028,1326357.46037,
2029,1362694.06892,
2030,1388697.43098,
2031,1425193.03563,
2032,1464732.06562,
2033,1504067.10061,
2034,1544362.11205,
2035,1573386.39999,
2036,1614996.87916,
2037,1641897.21921,
2038,1688196.58335,
2039,1722341.74566,
2040,1764136.7203,
