year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,36843.0727082,27263.8738041
2018,36843.0727082,27263.8738041
2019,36843.0727082,27263.8738041
2020,36843.0727082,27263.8738041
2021,36843.0727082,27263.8738041
2022,36843.0727082,27263.8738041
2023,36843.0727082,27263.8738041
2024,36843.0727082,27263.8738041
2025,36843.0727082,27263.8738041
2026,36843.0727082,27263.8738041
2027,36843.0727082,27263.8738041
2028,36843.0727082,27263.8738041
2029,36843.0727082,27263.8738041
2030,36843.0727082,27263.8738041
2031,36843.0727082,27263.8738041
