year,annotation,diesel generation efficiency
2002,,12.15
2003,,13.24
2004,,12.34
2005,,12.36
2006,,12.12
2007,,12.44
2008,,12.2
2009,,12.15
2010,,11.63
2011,,11.15
2012,,10.62
2013,,11.67
2014,start of forecast,11.15
2015,,11.15
2016,,11.15
2017,,11.15
2018,,11.15
2019,,11.15
2020,,11.15
2021,,11.15
2022,,11.15
2023,,11.15
2024,,11.15
2025,,11.15
2026,,11.15
2027,,11.15
2028,,11.15
2029,,11.15
2030,,11.15
2031,,11.15
2032,,11.15
2033,,11.15
2034,,11.15
2035,,11.15
2036,,11.15
2037,,11.15
2038,,11.15
2039,,11.15
2040,,11.15
