year,Base case cost,High-penetration wind energy project- kokhanok,Modeled wind power
2017,148603.979229,,
2018,162038.770734,,
2019,179547.197233,,
2020,187443.154282,,
2021,192935.993968,,
2022,197055.623732,,
2023,199802.043575,,
2024,202205.160938,,
2025,204951.580781,,
2026,208384.605584,,
2027,211131.025427,,
2028,213190.840309,,
2029,216280.562633,,
2030,218910.868417,,
2031,222008.663725,,
2032,225450.658511,,
2033,228892.653298,,
2034,231729.174249,,
2035,233788.989132,,
2036,237565.316416,,
2037,240251.236093,,
2038,243693.23088,,
