year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2003,,2.2,
2004,,2.44,3.0
2005,,2.38,4.0
2008,,5.88,7.3
2009,,4.54,8.11
2010,,4.78,6.58
2011,,5.14,7.3
2012,,5.82,7.94
2013,,6.17,8.04
2014,,,8.21
2016,,3.8,5.08
2017,,4.34,5.62
2018,,4.72,6.0
2019,,5.23,6.51
2020,,5.46,6.74
2021,,5.62,6.9
2022,,5.74,7.02
2023,,5.82,7.1
2024,,5.89,7.17
2025,,5.97,7.25
2026,,6.07,7.35
2027,,6.15,7.43
2028,,6.21,7.49
2029,,6.3,7.58
2030,,6.36,7.64
2031,,6.45,7.73
2032,,6.55,7.83
2033,,6.65,7.93
2034,,6.75,8.03
2035,,6.81,8.09
2036,,6.92,8.2
2037,,6.98,8.26
2038,,7.08,8.36
2039,,7.16,8.44
2040,,7.27,8.55
