year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,303320
2004,,0,0,0,0,0,388569
2005,,0,0,0,0,0,436976
2006,,0,0,0,0,0,490764
2007,,0,0,0,0,0,475758
2008,,0,0,0,0,0,466644
2009,,0,0,0,0,0,471639
2010,,0,0,0,0,0,457899
2011,,0,0,66449,0,0,435915
2012,,0,0,158185,0,0,348809
2013,,0,0,78717,0,0,395612
2014,start of forecast,0,0,106276,0,0,381724
2015,,0,0,106276,0,0,381724
2016,,0,0,106276,0,0,381724
2017,,0,0,106276,0,0,381724
2018,,0,0,106276,0,0,382724
2019,,0,0,106276,0,0,382724
2020,,0,0,106276,0,0,382724
2021,,0,0,106276,0,0,382724
2022,,0,0,106276,0,0,382724
2023,,0,0,106276,0,0,382724
2024,,0,0,106276,0,0,382724
2025,,0,0,106276,0,0,382724
2026,,0,0,106276,0,0,382724
2027,,0,0,106276,0,0,382724
2028,,0,0,106276,0,0,382724
2029,,0,0,106276,0,0,382724
2030,,0,0,106276,0,0,383724
2031,,0,0,106276,0,0,383724
2032,,0,0,106276,0,0,383724
2033,,0,0,106276,0,0,383724
2034,,0,0,106276,0,0,382724
2035,,0,0,106276,0,0,382724
2036,,0,0,106276,0,0,382724
2037,,0,0,106276,0,0,383724
2038,,0,0,106276,0,0,383724
2039,,0,0,106276,0,0,383724
2040,,0,0,106276,0,0,383724
