year,Base case cost,Modeled residential energy efficiency
2017,360875.07901,360895.98629
2018,378704.169658,378282.693576
2019,413187.645387,412217.518378
2020,424277.162618,422996.315597
2021,431991.609387,430461.575648
2022,437777.444463,436034.502492
2023,441634.667848,439715.033046
2024,445009.73831,442924.374263
2025,437352.494159,435095.510821
2026,453688.490925,451245.542761
2027,457545.714309,454935.985358
2028,460438.631848,457681.25012
2029,464778.008155,461850.063261
2030,479691.079984,476619.988522
2031,484147.153236,480909.8992
2032,489098.345737,485688.655641
2033,481653.360463,478073.307791
2034,486474.889694,482726.499333
2035,489367.807232,485486.643561
2036,494671.489386,490617.499802
