year,Base case diesel consumed,Modeled transmission and interties
2021,34330.2480369,-9532.96756044
2022,34330.2480369,-9532.96756044
2023,34330.2480369,-9532.96756044
2024,34330.2480369,-9532.96756044
2025,34330.2480369,-9532.96756044
2026,34330.2480369,-9532.96756044
2027,34330.2480369,-9532.96756044
2028,34330.2480369,-9532.96756044
2029,34330.2480369,-9532.96756044
2030,34419.9478643,-9532.96756044
2031,34419.9478643,-9532.96756044
2032,34419.9478643,-9532.96756044
2033,34419.9478643,-9532.96756044
2034,34330.2480369,-9532.96756044
2035,34330.2480369,-9532.96756044
2036,34330.2480369,-9532.96756044
2037,34419.9478643,-9532.96756044
2038,34419.9478643,-9532.96756044
2039,34419.9478643,-9532.96756044
2040,34419.9478643,-9532.96756044
