year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,67277.0,57676.2366173
2018,67279.0,57678.2366173
2019,68129.0,58528.2366173
2020,68131.0,58530.2366173
2021,68132.0,58531.2366173
2022,68131.0,58530.2366173
2023,68130.0,58529.2366173
2024,68129.0,58528.2366173
2025,67281.0,57680.2366173
2026,68130.0,58529.2366173
2027,68130.0,58529.2366173
2028,68130.0,58529.2366173
2029,68135.0,58534.2366173
2030,68986.0,59385.2366173
2031,68988.0,59387.2366173
2032,68987.0,59386.2366173
2033,68137.0,58536.2366173
2034,68135.0,58534.2366173
2035,68135.0,58534.2366173
2036,68136.0,58535.2366173
