year,Base case cost,Modeled solar power
2020,716360.231698,720677.829206
2021,741315.403704,745031.333746
2022,758930.819238,762165.656093
2023,770674.429593,773524.52776
2024,781502.387161,783998.175304
2025,793254.302758,795383.40673
2026,807944.197253,809673.679889
2027,820275.403389,821655.994802
2028,830565.596621,831626.293419
2029,843795.845063,844503.821576
2030,852616.010691,853040.348086
2031,867316.286737,867384.026252
2032,882016.562784,881736.102084
2033,896083.564226,895463.128613
2034,910773.458722,909821.104773
2035,919754.538388,918536.429827
2036,936552.925868,934998.785256
2037,946029.205511,944242.489163
2038,962188.089456,960080.18486
2039,974628.301876,972263.214506
