year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,146483.68,7612.4,105681.35,56191.58
2018,146587.5,7617.56,105681.35,56191.58
2019,146691.31,7626.87,105681.35,56821.59
2020,146795.13,7630.21,105681.35,57451.59
2021,146795.13,7628.5,105681.35,56821.59
2022,146795.13,7631.26,105681.35,57451.59
2023,146795.13,7633.89,105681.35,57451.59
2024,146898.94,7635.88,105681.35,57451.59
2025,146898.94,7637.44,105681.35,57451.59
2026,146898.94,7637.29,105681.35,57451.59
2027,147002.76,7644.44,105681.35,58081.6
2028,147002.76,7643.6,105681.35,58081.6
2029,147002.76,7645.22,105681.35,58081.6
2030,147002.76,7643.98,105681.35,58081.6
2031,147002.76,7643.58,105681.35,58081.6
2032,147002.76,7642.59,105681.35,58081.6
2033,146898.94,7639.16,105681.35,57451.59
2034,146898.94,7635.5,105681.35,57451.59
2035,146691.31,7627.16,105681.35,56821.59
2036,146795.13,7628.97,105681.35,56821.59
2037,146898.94,7635.33,105681.35,57451.59
2038,146898.94,7639.0,105681.35,57451.59
2039,147002.76,7645.65,105681.35,58081.6
2040,147106.58,7649.57,105681.35,58081.6
