year,annotation,Average Load
2003,,125.0
2004,,139.0
2005,,123.0
2006,,139.0
2007,,124.0
2008,,129.0
2009,,136.0
2010,,139.0
2011,,147.0
2012,,148.0
2013,,146.0
2014,start of forecast,145.0
2015,,145.0
2016,,145.0
2017,,145.0
2018,,145.0
2019,,145.0
2020,,145.0
2021,,145.0
2022,,145.0
2023,,145.0
2024,,145.0
2025,,145.0
2026,,145.0
2027,,146.0
2028,,145.0
2029,,146.0
2030,,145.0
2031,,145.0
2032,,145.0
2033,,145.0
2034,,145.0
2035,,145.0
2036,,145.0
2037,,145.0
2038,,145.0
2039,,146.0
2040,,146.0
