year,Base case cost,Modeled water and wastewater efficiency
2017,84434.4627489,78678.6062608
2018,90439.9314691,82448.404743
2019,98760.175308,87855.2702217
2020,102507.39744,90059.2020351
2021,105220.430535,91546.3898641
2022,107191.547271,92522.2719272
2023,108517.932787,93054.7460932
2024,109674.64189,93477.3469942
2025,110986.696129,94018.2252928
2026,112596.111998,94776.9046522
2027,113994.010114,95395.945414
2028,115110.24226,95825.3237553
2029,116587.135266,96516.509932
2030,117535.69217,96844.503337
2031,119142.337686,97642.8378149
