year,Base case cost,Modeled biomass for heat (cordwood)
2017,855128.621942,931062.140951
2018,917870.56466,982215.672979
2019,1008097.3392,1057031.36438
2020,1051123.64103,1092389.52513
2021,1076161.99011,1111443.34317
2022,1100651.35648,1131355.66557
2023,1114332.05284,1141590.69925
2024,1126298.93375,1150416.42962
2025,1139967.1292,1160696.52401
2026,1157044.1292,1173862.41579
2027,1175072.65284,1188557.73339
2028,1187071.14284,1197524.89381
2029,1202504.78829,1209402.29513
2030,1212782.19284,1216974.88515
2031,1229922.89284,1230333.8777
2032,1247056.31738,1243709.68401
2033,1259520.88011,1252440.15312
2034,1276568.17829,1265776.33098
2035,1283707.9392,1270053.5766
2036,1302437.55011,1284841.02095
