year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,7612.39543054,4948.05702985
2018,7617.55736224,4951.41228546
2019,7626.8668699,4957.46346544
2020,7630.20927737,4959.63603029
2021,7628.50015001,4958.52509751
2022,7631.25899251,4960.31834513
2023,7633.89286249,4962.03036062
2024,7635.88189589,4963.32323233
2025,7637.43743931,4964.33433555
2026,7637.29249279,4964.24012031
2027,7644.43913919,4968.88544047
2028,7643.59645195,4968.33769377
2029,7645.22163448,4969.39406241
2030,7643.98378577,4968.58946075
2031,7643.58376575,4968.32944774
