year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,169485.0,141945.992839
2018,169491.0,141951.992839
2019,170130.0,142590.992839
2020,170763.0,143223.992839
2021,170132.0,142592.992839
2022,170764.0,143224.992839
2023,170767.0,143227.992839
2024,170769.0,143229.992839
2025,170770.0,143230.992839
2026,170770.0,143230.992839
2027,171407.0,143867.992839
2028,171407.0,143867.992839
2029,171408.0,143868.992839
2030,171407.0,143867.992839
2031,171407.0,143867.992839
2032,171406.0,143866.992839
2033,170772.0,143232.992839
2034,170768.0,143228.992839
2035,170130.0,142590.992839
2036,170132.0,142592.992839
