year,Base case diesel consumed,Modeled residential energy efficiency
2017,56191.583507,52194.7354852
2018,56191.583507,52194.7354852
2019,56821.587859,52824.7398373
2020,57451.5922111,53454.7441893
2021,56821.587859,52824.7398373
2022,57451.5922111,53454.7441893
2023,57451.5922111,53454.7441893
2024,57451.5922111,53454.7441893
2025,57451.5922111,53454.7441893
2026,57451.5922111,53454.7441893
2027,58081.5965631,54084.7485413
2028,58081.5965631,54084.7485413
2029,58081.5965631,54084.7485413
2030,58081.5965631,54084.7485413
2031,58081.5965631,54084.7485413
2032,58081.5965631,54084.7485413
2033,57451.5922111,53454.7441893
2034,57451.5922111,53454.7441893
2035,56821.587859,52824.7398373
2036,56821.587859,52824.7398373
