year,Base case diesel consumed,Modeled transmission and interties
2021,146795.129446,0.0
2022,146795.129446,0.0
2023,146795.129446,0.0
2024,146898.944955,0.0
2025,146898.944955,0.0
2026,146898.944955,0.0
2027,147002.760464,0.0
2028,147002.760464,0.0
2029,147002.760464,0.0
2030,147002.760464,0.0
2031,147002.760464,0.0
2032,147002.760464,0.0
2033,146898.944955,0.0
2034,146898.944955,0.0
2035,146691.313938,0.0
2036,146795.129446,0.0
2037,146898.944955,0.0
2038,146898.944955,0.0
2039,147002.760464,0.0
2040,147106.575973,0.0
