year,Base case cost,Modeled biomass for heat (pellet)
2017,4838613.15726,5747103.09557
2018,5418234.59726,6146710.19092
2019,6215214.07726,6701709.15448
2020,6595590.64726,6959816.42139
2021,6849175.02726,7127779.24387
2022,7066533.06726,7270201.18574
2023,7193325.25726,7348308.62663
2024,7320117.44726,7426705.4678
2025,7446909.63726,7505384.9264
2026,7609928.16726,7610184.71729
2027,7754833.52726,7702331.86388
2028,7881625.71726,7781820.04914
2029,8044644.24726,7887409.61213
2030,8135210.09726,7941561.51242
2031,8316341.79726,8060569.39107
2032,,
2033,,
2034,,
2035,,
2036,,
