year,Base case cost,Modeled biomass for heat (cordwood)
2017,4838613.15726,6039649.74256
2018,5418234.59726,6440021.76043
2019,6215214.07726,7001784.5603
2020,6595590.64726,7256129.882
2021,6849175.02726,7417347.83364
2022,7066533.06726,7552394.01443
2023,7193325.25726,7621071.74238
2024,7320117.44726,7690337.30212
2025,7446909.63726,7760176.91626
2026,7609928.16726,7857365.28739
2027,7754833.52726,7941707.04113
2028,7881625.71726,8013189.34626
2029,8044644.24726,8111981.90775
2030,8135210.09726,8157708.0181
2031,8316341.79726,8270902.43376
2032,,
2033,,
2034,,
2035,,
2036,,
