year,Base case cost,Medvejia lake (unnamed stream) -- unnamed creek,Lake irina,Bill d short (baranof river) -- baranof lake,Baranof lake,Swan lake 1 (cascade creek),Carbon lake,Hidden falls creek (kasnyku bay) -- hidden falls lake,Four falls lake,Kelp lake,Kasnyku lake (waterfall cove),Nelson lakes,Milk lake,Waxman (waxman creek),Redoubt lake (unnamed cascade) -- unnamed creek,Takatz lake hydroelectric feasibility analysis,Takatz lake (sitka) -- takatz creek
2021,495768.639238,1130054.26966,649216.641308,780728.797178,4446314.36767,30615484.2035,13597694.6145,935596.898028,1165805.33937,24853492.979,3645425.19993,6073909.32493,12574774.056,1671724.18129,856993.719413,20682969.079,35843563.3309
2022,513580.686157,1105529.49105,626626.980582,792534.292267,4351283.15982,29958543.0056,13301625.532,916072.567001,1126603.02086,24320931.8835,3567752.66016,5944063.5823,12305412.9101,1636234.59505,838797.96098,20211055.7261,35070509.0748
2023,523971.046859,1082023.51859,606849.139064,797148.804261,4260080.40114,29329070.2976,13018856.5218,897172.339969,1092144.81215,23810459.62,3493142.1241,5819481.13247,12047168.3818,1602076.30346,821250.668953,19765137.2541,34330669.5036
2024,534361.407562,1059053.03003,587455.486641,801895.561191,4170959.5378,28713931.154,12742493.7513,878709.298012,1058361.21867,23311617.5344,3420237.10588,5697741.39719,11794809.4516,1568701.22984,804106.922923,19329150.7534,33607645.0535
2025,544751.768265,1036605.47503,568437.018918,806771.463581,4083871.77558,28112789.6334,12472387.0748,860673.194649,1025236.4292,22824133.0454,3348997.63258,5578777.75066,11548198.1765,1536091.01761,787357.26482,18902863.4445,32901041.6218
2026,558110.803454,1014480.40897,548817.578588,814704.045319,3998090.82788,27520201.2954,12205693.8307,842983.452816,991133.681338,22343668.1447,3278858.44624,5461584.1864,11305163.9385,1504016.02836,770898.363994,18479718.1835,32204075.9367
2027,569985.5014,992948.145325,530039.62418,821294.50938,3914588.11414,26943520.3145,11946314.8792,825736.156642,958469.878685,21876070.5981,3210570.75798,5347508.57722,11068629.0444,1472776.32364,754862.341758,18068987.7007,31525969.7549
2028,580375.862102,971996.99561,512094.769651,826539.969135,3833318.19095,26382433.8193,11694110.3857,808921.763295,927230.295805,21421086.5431,3144097.33993,5236488.87264,10838465.024,1442354.80745,739240.389548,17670455.2022,30866356.0376
2029,593734.897291,951333.262869,493523.779731,834833.446746,3753218.72681,25828961.7179,11444899.7425,792425.097678,894968.570053,20972360.3483,3078612.50452,5127053.06439,10611492.5585,1412417.21673,723882.764037,17274414.2489,30215278.7466
2030,601156.583507,931510.364785,477220.748329,837380.507005,3676282.28935,25298154.7354,11206637.6916,776448.770778,866534.622673,20541865.3469,3015659.41251,5021964.79997,10393696.8467,1383582.38274,709063.34706,16899647.5395,29591583.0462
