year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,1811317.0,1339407.85226
2018,1811317.0,1339407.85226
2019,1811317.0,1339407.85226
2020,1811317.0,1339407.85226
2021,1811317.0,1339407.85226
2022,1811317.0,1339407.85226
2023,1811317.0,1339407.85226
2024,1811317.0,1339407.85226
2025,1811317.0,1339407.85226
2026,1811317.0,1339407.85226
2027,1811317.0,1339407.85226
2028,1811317.0,1339407.85226
2029,1811317.0,1339407.85226
2030,1811317.0,1339407.85226
2031,1811317.0,1339407.85226
2032,,
2033,,
2034,,
2035,,
2036,,
