year,Base case cost,Modeled water and wastewater efficiency
2017,94265.9866286,422641.249015
2018,98336.1934372,416972.69212
2019,103870.012723,412451.937193
2020,106425.129318,406176.789948
2021,108123.000918,399529.382509
2022,109433.292454,392807.632378
2023,110055.131929,385813.059714
2024,110663.083135,378982.552625
2025,111189.973099,372266.661457
2026,111889.835474,365827.331056
2027,112386.577837,359415.399126
2028,112759.419787,353080.546545
2029,113359.961847,347048.070044
2030,113378.832188,340784.665494
2031,113888.804046,334986.329124
