year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,16938.1749615,12745.2094715
2018,16938.1749615,12745.2094715
2019,16938.1749615,12745.2094715
2020,16938.1749615,12745.2094715
2021,16938.1749615,12745.2094715
2022,16938.1749615,12745.2094715
2023,16938.1749615,12745.2094715
2024,16938.1749615,12745.2094715
2025,16938.1749615,12745.2094715
2026,16938.1749615,12745.2094715
2027,16938.1749615,12745.2094715
2028,16938.1749615,12745.2094715
2029,16938.1749615,12745.2094715
2030,16938.1749615,12745.2094715
2031,16938.1749615,12745.2094715
