year,Base case cost,Modeled biomass for heat (cordwood)
2017,83647.5056481,102523.136205
2018,89087.8256481,106184.29387
2019,96738.2756481,111490.377724
2020,100138.475648,113658.065317
2021,102688.625648,115204.592022
2022,104388.725648,116129.765716
2023,105748.805648,116811.0136
2024,106768.865648,117248.152453
2025,107958.935648,117818.618163
2026,109489.025648,118648.107602
2027,110849.105648,119358.83532
2028,111869.165648,119824.763074
2029,113229.245648,120549.214549
2030,114249.305648,121028.54441
2031,115779.395648,121891.955485
2032,,
2033,,
2034,,
2035,,
2036,,
