year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2005,,2.3,4.65
2008,,3.88,7.2
2009,,5.23,4.9
2010,,4.2,5.77
2011,,3.84,6.51
2012,,4.36,7.32
2013,,4.58,7.35
2014,,4.56,6.92
2016,start of forecast,2.29,4.49
2017,,2.72,4.92
2018,,3.04,5.24
2019,,3.49,5.69
2020,,3.69,5.89
2021,,3.84,6.04
2022,,3.94,6.14
2023,,4.02,6.22
2024,,4.08,6.28
2025,,4.15,6.35
2026,,4.24,6.44
2027,,4.32,6.52
2028,,4.38,6.58
2029,,4.46,6.66
2030,,4.52,6.72
2031,,4.61,6.81
2032,,4.7,6.9
2033,,4.79,6.99
2034,,4.89,7.09
2035,,4.95,7.15
2036,,5.05,7.25
2037,,5.11,7.31
2038,,5.21,7.41
2039,,5.28,7.48
2040,,5.39,7.59
