year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,17001.0,12587.1605148
2018,17001.0,12587.1605148
2019,17001.0,12587.1605148
2020,17001.0,12587.1605148
2021,17001.0,12587.1605148
2022,17001.0,12587.1605148
2023,17001.0,12587.1605148
2024,17001.0,12587.1605148
2025,17001.0,12587.1605148
2026,17001.0,12587.1605148
2027,17001.0,12587.1605148
2028,17001.0,12587.1605148
2029,17001.0,12587.1605148
2030,17001.0,12587.1605148
2031,17001.0,12587.1605148
2032,,
2033,,
2034,,
2035,,
2036,,
