year,Base case diesel consumed,Modeled diesel efficiency
2019,27804.176205,25276.5238227
2020,27804.176205,25276.5238227
2021,27804.176205,25276.5238227
2022,27804.176205,25276.5238227
2023,27804.176205,25276.5238227
2024,27804.176205,25276.5238227
2025,27804.176205,25276.5238227
2026,27804.176205,25276.5238227
2027,27804.176205,25276.5238227
2028,27804.176205,25276.5238227
2029,27804.176205,25276.5238227
2030,27804.176205,25276.5238227
2031,27804.176205,25276.5238227
2032,27804.176205,25276.5238227
2033,27804.176205,25276.5238227
2034,27804.176205,25276.5238227
2035,27910.2990149,25372.9991045
2036,27910.2990149,25372.9991045
2037,27910.2990149,25372.9991045
2038,27910.2990149,25372.9991045
