year,Base case cost,Modeled diesel efficiency
2019,97036.5749553,252320.244778
2020,102597.410196,253529.334465
2021,106768.036627,253564.743625
2022,109548.454248,252424.359472
2023,111772.788344,250864.414456
2024,113441.038916,248882.893646
2025,115387.331251,247236.125086
2026,117889.707109,246174.952442
2027,120114.041205,244939.203455
2028,121782.291778,243274.280325
2029,124006.625874,242189.454439
2030,125674.876446,240671.917171
2031,128177.252305,239983.787987
2032,130679.628163,239365.10452
2033,133182.004022,238814.239093
2034,135962.421642,238582.367503
2035,138155.980124,237881.663933
2036,140947.010025,237787.276688
2037,142621.627966,236739.649656
2038,145412.657868,236767.177132
