year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,27804.18,4338.91,16938.17,23068.9
2018,27804.18,4339.67,16938.17,23068.9
2019,27804.18,4340.58,16938.17,23068.9
2020,27804.18,4341.13,16938.17,23899.85
2021,27804.18,4341.5,16938.17,23899.85
2022,27804.18,4341.89,16938.17,23899.85
2023,27804.18,4342.09,16938.17,23899.85
2024,27804.18,4342.31,16938.17,23899.85
2025,27804.18,4342.57,16938.17,23899.85
2026,27804.18,4342.94,16938.17,23899.85
2027,27804.18,4343.36,16938.17,23899.85
2028,27804.18,4343.8,16938.17,23899.85
2029,27804.18,4344.26,16938.17,24730.79
2030,27804.18,4344.64,16938.17,24730.79
2031,27804.18,4345.1,16938.17,24730.79
2032,27804.18,,,24730.79
2033,27804.18,,,24730.79
2034,27804.18,,,24730.79
2035,27910.3,,,25561.74
2036,27910.3,,,25561.74
