year,Base case cost,Modeled residential energy efficiency
2017,303609.346725,305572.82797
2018,318734.114838,318532.135105
2019,340003.319997,337040.614466
2020,360121.980391,355588.278909
2021,367431.867928,361576.882948
2022,372305.126286,365378.223454
2023,376203.732972,368312.989925
2024,379127.687987,370380.851622
2025,382538.968837,372902.513728
2026,386924.901359,376318.003548
2027,390823.508046,379305.9849
2028,393747.463061,381425.814255
2029,409441.866155,396234.365154
2030,412453.882163,398466.448025
2031,416971.906176,402075.262238
2032,421489.930188,405695.47556
2033,426007.954201,409326.820816
2034,431027.980881,413424.056659
2035,446554.958078,428226.791718
2036,451721.753081,432491.779554
