year,Base case cost,Modeled water and wastewater efficiency
2017,60581.7413624,29524.6621143
2018,63728.8598475,30038.0663607
2019,68153.4544034,30881.5790122
2020,70124.9365034,31110.6460351
2021,71602.7495533,31220.8381124
2022,72592.1799574,31213.7993344
2023,73380.8363478,31161.612514
2024,73974.1723319,31065.9761365
2025,74666.9382303,31001.3807197
2026,75558.7168368,30993.0133099
2027,76354.2143178,30965.9296924
2028,76954.669448,30894.954477
2029,77751.6667932,30878.9861209
2030,78350.8903417,30817.9617122
2031,79246.5360091,30837.1203673
