year,annotation,Maximum expected generation hydro [kWh/year],Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation hydro [kWh/year],generation diesel [kWh/year]
2003,,1997981.0,30686.32,4000323.0,2358500.0,1641823.0
2004,,1997981.0,30686.32,4790854.0,2494104.0,2296750.0
2005,,1997981.0,30686.32,4455047.0,2308788.0,2146259.0
2006,,1997981.0,30686.32,3836018.0,2160080.0,1675938.0
2007,,1997981.0,30686.32,4618341.0,2075270.0,2543071.0
2008,,1997981.0,30686.32,5192779.0,2143010.0,3049769.0
2009,,1997981.0,30686.32,4842146.0,2410860.0,2431286.0
2010,,1997981.0,30686.32,5233490.0,2539497.0,2693993.0
2011,,1997981.0,30686.32,5552455.0,3384506.0,2167949.0
2012,,1997981.0,30686.32,5127816.0,2450656.0,2677160.0
2013,,1997981.0,30686.32,4596709.0,1997981.0,2598728.0
2014,,1997981.0,30686.32,4426715.0,2222000.0,2204715.0
2015,,1997981.0,30686.32,4462977.0,2760000.0,1702977.0
2016,start of forecast,1997981.0,30686.32,4557000.0,1997981.0,2559019.0
2017,,1997981.0,30686.32,4556000.0,1997981.0,2558019.0
2018,,1997981.0,30686.32,4555000.0,1997981.0,2557019.0
2019,,1997981.0,30686.32,4553000.0,1997981.0,2555019.0
2020,,1997981.0,30686.32,4551000.0,1997981.0,2553019.0
2021,,1997981.0,30686.32,4547000.0,1997981.0,2549019.0
2022,,1997981.0,30686.32,4543000.0,1997981.0,2545019.0
2023,,1997981.0,30686.32,4539000.0,1997981.0,2541019.0
2024,,1997981.0,30686.32,4535000.0,1997981.0,2537019.0
2025,,1997981.0,30686.32,4530000.0,1997981.0,2532019.0
2026,,1997981.0,30686.32,4524000.0,1997981.0,2526019.0
2027,,1997981.0,30686.32,4516000.0,1997981.0,2518019.0
2028,,1997981.0,30686.32,4508000.0,1997981.0,2510019.0
2029,,1997981.0,30686.32,4501000.0,1997981.0,2503019.0
2030,,1997981.0,30686.32,4494000.0,1997981.0,2496019.0
2031,,1997981.0,30686.32,4484000.0,1997981.0,2486019.0
2032,,1997981.0,30686.32,4471000.0,1997981.0,2473019.0
2033,,1997981.0,30686.32,4457000.0,1997981.0,2459019.0
2034,,1997981.0,30686.32,4442000.0,1997981.0,2444019.0
2035,,1997981.0,30686.32,4428000.0,1997981.0,2430019.0
2036,,1997981.0,30686.32,4414000.0,1997981.0,2416019.0
2037,,1997981.0,30686.32,4401000.0,1997981.0,2403019.0
2038,,1997981.0,30686.32,4387000.0,1997981.0,2389019.0
2039,,1997981.0,30686.32,4373000.0,1997981.0,2375019.0
2040,,1997981.0,30686.32,4357000.0,1997981.0,2359019.0
