year,annotation,diesel generation efficiency
2002,,13.46
2003,,12.98
2004,,14.24
2005,,14.11
2006,,14.3
2007,,13.48
2008,,13.07
2009,,12.95
2010,,11.47
2011,,13.81
2012,,14.51
2013,,14.52
2014,,14.04
2015,,14.03
2016,start of forecast,14.2
2017,,14.2
2018,,14.2
2019,,14.2
2020,,14.2
2021,,14.2
2022,,14.2
2023,,14.2
2024,,14.2
2025,,14.2
2026,,14.2
2027,,14.2
2028,,14.2
2029,,14.2
2030,,14.2
2031,,14.2
2032,,14.2
2033,,14.2
2034,,14.2
2035,,14.2
2036,,14.2
2037,,14.2
2038,,14.2
2039,,14.2
2040,,14.2
