year,Base case diesel consumed,"Belkovski, belkofski (unnamed stream, site #7) -- unnamed creek","King cove (ram creek, north branch)","King cove (unnamed  creek, sw)","King cove (unnamed creek, ne)",Waterfall creek hydroelectric construction project
2018,180112.816436,,,,,144492.482626
2019,179971.939254,,,,,144351.605443
2020,179831.062071,,,,,144210.72826
2021,179549.307706,131039.647072,171373.522204,138670.380202,43286.2160264,143928.973895
2022,179267.55334,130757.892707,171091.767838,138388.625836,43004.461661,143647.219529
2023,178985.798975,130476.138341,170810.013473,138106.871471,42722.7072955,143365.465164
2024,178704.044609,130194.383976,170528.259107,137825.117105,42440.9529301,143083.710798
2025,178351.851652,129842.191019,170176.066151,137472.924149,42088.7599733,142731.517842
2026,177929.220104,129419.559471,169753.434603,137050.292601,41666.1284252,142308.886293
2027,177365.711373,128856.05074,169189.925872,136486.78387,41102.6196943,141745.377563
2028,176802.202643,128292.542009,168626.417141,135923.275139,40539.1109634,141181.868832
2029,176309.132503,127799.47187,168133.347001,135430.204999,40046.0408239,140688.798692
2030,175816.062364,127306.40173,167640.276862,134937.13486,39552.9706844,140195.728553
2031,175111.67645,126602.015817,166935.890948,134232.748946,38848.5847708,139491.342639
2032,174195.974762,125686.314129,166020.189261,133317.047259,37932.8830832,138575.640951
2033,173209.834483,124700.17385,165034.048982,132330.90698,36946.7428042,137589.500672
2034,172153.255613,123643.594979,163977.470111,131274.328109,35890.1639338,136532.921802
2035,171167.115334,122657.4547,162991.329832,130288.18783,34904.0236548,135546.781523
2036,170180.975055,121671.314421,162005.189553,129302.047551,33917.8833758,134560.641244
2037,169265.273367,120755.612734,161089.487865,128386.345863,33002.1816881,133644.939556
2038,168279.133088,119769.472455,160103.347586,127400.205584,32016.0414091,132658.799277
2039,167292.992809,118783.332176,159117.207307,126414.065305,31029.9011301,131672.658998
2040,166165.975347,117656.314714,157990.189846,125287.047844,29902.8836683,130545.641537
2041,165109.396477,116599.735844,156933.610975,124230.468973,28846.304798,129489.062666
2042,163982.379015,115472.718382,155806.593514,123103.451512,27719.2873362,128362.045205
2043,162996.238736,114486.578103,154820.453235,122117.311233,26733.1470572,127375.904926
2044,162010.098457,113500.437824,153834.312956,121131.170954,25747.0067782,126389.764647
2045,161023.958178,112514.297545,152848.172677,120145.030675,24760.8664992,125403.624367
2046,159967.379308,111457.718675,151791.593806,119088.451804,23704.2876288,124347.045497
2047,158981.239029,110471.578395,150805.453527,118102.311525,22718.1473498,123360.905218
2048,158065.537341,109555.876708,149889.75184,117186.609838,21802.4456621,122445.20353
2049,157149.835654,108640.17502,148974.050152,116270.90815,20886.7439745,121529.501843
2050,156234.133966,107724.473333,148058.348464,115355.206462,19971.0422868,120613.800155
2051,156234.133966,107724.473333,148058.348464,115355.206462,19971.0422868,120613.800155
2052,156234.133966,107724.473333,148058.348464,115355.206462,19971.0422868,120613.800155
2053,156234.133966,107724.473333,148058.348464,115355.206462,19971.0422868,120613.800155
2054,156234.133966,107724.473333,148058.348464,115355.206462,19971.0422868,120613.800155
2055,156234.133966,107724.473333,148058.348464,115355.206462,19971.0422868,120613.800155
2056,156234.133966,107724.473333,148058.348464,115355.206462,19971.0422868,120613.800155
2057,156234.133966,107724.473333,148058.348464,115355.206462,19971.0422868,120613.800155
2058,156234.133966,107724.473333,148058.348464,115355.206462,19971.0422868,120613.800155
2059,156234.133966,107724.473333,148058.348464,115355.206462,19971.0422868,120613.800155
2060,156234.133966,107724.473333,148058.348464,115355.206462,19971.0422868,120613.800155
2061,156234.133966,107724.473333,148058.348464,115355.206462,19971.0422868,120613.800155
2062,156234.133966,107724.473333,148058.348464,115355.206462,19971.0422868,120613.800155
2063,156234.133966,107724.473333,148058.348464,115355.206462,19971.0422868,120613.800155
2064,156234.133966,107724.473333,148058.348464,115355.206462,19971.0422868,120613.800155
2065,156234.133966,107724.473333,148058.348464,115355.206462,19971.0422868,120613.800155
2066,156234.133966,107724.473333,148058.348464,115355.206462,19971.0422868,120613.800155
2067,156234.133966,107724.473333,148058.348464,115355.206462,19971.0422868,120613.800155
2068,156234.133966,107724.473333,148058.348464,115355.206462,19971.0422868,
2069,156234.133966,107724.473333,148058.348464,115355.206462,19971.0422868,
2070,156234.133966,107724.473333,148058.348464,115355.206462,19971.0422868,
