year,Base case cost,"Belkovski, belkofski (unnamed stream, site #7) -- unnamed creek","King cove (ram creek, north branch)","King cove (unnamed  creek, sw)","King cove (unnamed creek, ne)",Waterfall creek hydroelectric construction project
2018,401651.580653,,,,,767532.084397
2019,469726.761452,,,,,814549.705426
2020,503526.973799,,,,,833615.147393
2021,524283.9785,1045282.41561,634651.520326,846156.183174,1005889.50637,842092.625707
2022,541388.011087,1044933.63718,648366.967895,850875.046648,993428.831782,847758.184243
2023,553066.118832,1040780.34801,656940.241567,851479.9176,979640.671572,849156.138166
2024,561130.700073,1034189.39849,662108.401733,849409.008284,965096.574677,847772.479274
2025,572509.443804,1030327.99146,670502.186392,850107.697677,951789.483336,849242.921472
2026,585387.134143,1027812.4333,680378.87391,852125.628829,939126.517489,852069.834325
2027,595948.790215,1023697.79484,688069.89261,852382.198542,925746.617227,853077.81477
2028,604663.533038,1018446.66775,694043.039687,851342.185777,912110.284963,852731.877409
2029,615318.872436,1014963.44783,701936.767386,852050.036156,899533.86756,854171.738905
2030,622388.860767,1009031.06708,706445.512731,850083.896957,886177.317485,852833.209616
2031,633904.268749,1006482.37118,715229.401611,851623.435381,873906.513111,855133.778679
2032,646267.066368,1004590.12938,724836.964773,853805.496211,861578.332125,858115.46403
2033,658197.371036,1002507.0286,734061.026211,855715.752225,849136.610123,860816.627325
2034,669676.164334,1000208.38729,742881.419302,857331.418975,836554.853446,863214.68824
2035,674398.434416,993137.138273,745287.540409,853821.454451,822446.242471,860288.72239
2036,687531.139222,992509.519081,755780.310957,857024.517496,810888.247742,864305.267953
2037,692294.968072,985924.633007,758318.174761,853851.909348,797408.327989,861700.611455
2038,703406.776309,984148.865082,766952.001354,855692.352564,785634.181274,864291.345768
2039,712668.149367,981170.614997,773851.768294,856191.147358,773517.61938,865485.350034
2040,724483.652515,980074.429332,783199.397742,858641.35654,761762.604151,868718.425839
2041,719876.96864,967139.620067,776904.18866,848496.416311,746162.964409,858873.936357
2042,714963.172507,954092.888978,770341.442129,838174.166702,730513.859804,848845.095706
2043,710663.60089,941850.998101,764431.567396,828592.902261,715730.588552,839550.363421
2044,706364.029274,929795.255303,758559.434136,819135.427476,701193.028971,830372.705226
2045,702064.457657,917921.297796,752724.157796,809798.841066,686895.422271,821309.377185
2046,697457.773783,905917.752691,746617.762275,800273.197425,672525.032248,812050.587384
2047,693158.202166,894394.683796,740853.628507,791169.954174,658690.59137,803207.943605
2048,689165.742808,883348.027878,735430.932674,782486.409236,645386.736248,794778.890344
2049,685173.28345,872466.704626,730041.757994,773912.811572,632301.116879,786453.81975
2050,681180.824091,861746.839169,724685.318839,765446.584369,619428.618509,778230.294747
2051,681180.824091,855177.106659,723353.307321,761077.670463,610756.705424,774098.394669
2052,681180.824091,848761.352251,722052.514822,756811.152975,602288.040296,770063.336012
2053,681180.824091,842495.967111,720782.209652,752644.632006,594017.859539,766122.849047
2054,681180.824091,836377.426882,719541.677249,748575.763837,585941.511073,762274.717249
2055,681180.824091,830402.28996,718330.219828,744602.25978,578054.452052,758516.776025
2056,681180.824091,824567.195315,717147.155942,740721.884727,570352.245983,754846.911578
2057,681180.824091,818868.860708,715991.820116,736932.455969,562830.560379,751263.059556
2058,681180.824091,813304.080796,714863.56247,733231.841933,555485.164251,747763.204067
2059,681180.824091,807869.725458,713761.748371,729617.961068,548311.925904,744345.376443
2060,681180.824091,802562.737786,712685.758033,726088.780512,541306.810283,741007.654144
2061,681180.824091,797380.132642,711634.986219,722642.315127,534465.877064,737748.159741
2062,681180.824091,792318.994808,710608.84187,719276.626277,527785.27822,734565.059714
2063,681180.824091,787376.477377,709606.747776,715989.820749,521261.255892,731456.563584
2064,681180.824091,782549.800243,708628.140271,712780.049755,514890.140396,728420.922857
2065,681180.824091,777836.248319,707672.468873,709645.507745,508668.347872,725456.429935
2066,681180.824091,773233.170252,706739.19602,706584.431553,502592.37859,722561.417324
2067,681180.824091,768737.976865,705827.796757,703595.099359,496658.814888,719734.256578
2068,681180.824091,764348.139537,704937.758407,700675.829614,490864.319037,
2069,681180.824091,760061.189033,704068.580333,697824.980262,485205.631698,
2070,681180.824091,755874.713943,703219.773622,695040.9477,479679.569859,
