year,Base case diesel consumed,Modeled diesel efficiency
2019,179971.939254,163610.853867
2020,179831.062071,163482.783701
2021,179549.307706,163226.643369
2022,179267.55334,162970.503036
2023,178985.798975,162714.362704
2024,178704.044609,162458.222372
2025,178351.851652,162138.046957
2026,177929.220104,161753.836458
2027,177365.711373,161241.555794
2028,176802.202643,160729.27513
2029,176309.132503,160281.029548
2030,175816.062364,159832.783967
2031,175111.67645,159192.433136
2032,174195.974762,158359.977057
2033,173209.834483,157463.485894
2034,172153.255613,156502.959648
2035,171167.115334,155606.468485
2036,170180.975055,154709.977323
2037,169265.273367,153877.521243
2038,168279.133088,152981.03008
